line,title,description,category,cypher_examples,source_file,authority_level,quality_tier,review_status,reviewer_notes
1,Graph modeling tips,"In this guide, you find some helpful information to designing a data model for your domain.  Optimizing the model helps developers to maximize performance of the system and queries.",modeling,,modules\ROOT\pages\data-modeling\modeling-tips.adoc,1,medium,,
2,Transition from NoSQL to graph database,This chapter explains how graph databases are related to other NoSQL databases and how they differ.,modeling,,modules\ROOT\pages\appendix\graphdb-concepts\graphdb-vs-nosql.adoc,1,medium,,
3,Comparing relational to graph database,This page explores the conceptual differences between relational and graph database structures and data models.,modeling,,modules\ROOT\pages\appendix\graphdb-concepts\graphdb-vs-rdbms.adoc,1,medium,,
4,A demonstration of causal cluster routing,The following will demonstrate how to use https://neo4j.com/docs/operations-manual/current/tools/cypher-shell/[cypher-shell] to get,cypher,"neo4j> call dbms.cluster.overview() yield addresses, role;
+ | neo4j> create (m:Person {id:123});
No write operations are allowed directly on this database. Writes must pass through the leader. The role of this server is: FOLLOWER
neo4j> :exit",articles\modules\ROOT\pages\a-demonstration-of-causal-cluster-routing.adoc,1,high,,
5,A Demonstration of Cluster Size at Formation and Runtime,*Causal Clustering Minimum Core Size At Formation*,security,,articles\modules\ROOT\pages\a-demonstration-of-cluster-size-at-formation-and-runtime.adoc,1,low,,
6,A demonstration of IntraCluster SSL Encryption,"This document provides a step-by-step demonstration of the process to deploy a Self-Signed SSL Certificate, to member",security,,articles\modules\ROOT\pages\a-demonstration-of-intracluster-ssl-encryption.adoc,1,low,,
7,A light weight approach to validating network port connectivity,"If it becomes necessary to validate, particularly in a clustered environment whether",security,,articles\modules\ROOT\pages\a-light-weight-approach-to-validating-network-port-connectivity.adoc,1,low,,
8,A lightweight approach to testing the Neo4j REST API with Authentication,This article will show examples of how to test the Neo4j REST API for,security,,articles\modules\ROOT\pages\a-lightweight-approach-to-testing-the-neo4j-rest-api-with-authentication.adoc,1,medium,,
9,A method to calculate the size of an index in Neo4j.,"If the need arises to calculate the size of an index in Neo4j, for capacity planning purposes, there are two methods available:",cypher,,articles\modules\ROOT\pages\a-method-to-calculate-index-size.adoc,1,medium,,
10,A method to replicate a Causal Cluster to new hardware with minimum downtime,If the opportunity arises such that you are in need of replicating your existing,security,"neo4j> call dbms.cluster.overview
+",articles\modules\ROOT\pages\a-method-to-replicate-a-causal-cluster-to-new-hardware-with-minimum-downtime.adoc,1,low,,
11,A note on OPTIONAL MATCHes,"An `OPTIONAL MATCH` matches patterns against your graph database, just like a `MATCH` does. The difference is that if no matches are found, `OPTIONAL MATCH` will use a null for missing parts of the pa",cypher,"OPTIONAL MATCH (actor:Actor)-[:ACTED_IN]->(:Movie)<-[:DIRECTED]-(director:Director {uuid:'fd787f45-df1a-4f8b-b4a9-ab7b90fefae4'}) 
OPTIONAL MATCH (director)-[:HAS_STUDIO*2]->(:Studio)-[:HAS_ACTOR]->(actor)-[:HAS_PROFILE]->(profile:Profile) 
WHERE profile.type IN [""Drama"", ""Action""] 
MERGE (director)-[:HAS]->(actor) 
ON CREATE SET profile.uuid = apoc.create.uuid(), profile.lastTimeReported = '2018-12-15T23:13:22.274', profile.reportingState = 'Active' 
ON MATCH SET profile.lastTimeReported = '2018-07-15T23:30:00.000', profile.reportingState = 'Active' 
RETURN COUNT(profile) as updatedCount | OPTIONAL MATCH (a)
MERGE (a)-[:X]->()",articles\modules\ROOT\pages\a-note-on-optional-matches.adoc,1,high,,
12,A significant change in apoc.periodic.iterate() in apoc 4.0,"In 3.5 an entity (node, relationship, path) could be acquired in one transaction and safely reused by another.",cypher,"CALL apoc.periodic.iterate('MATCH (:Account)-[r:ASSOCIATED_WITH]->() RETURN r',
    'CALL apoc.do.case(.....) YIELD value RETURN value',
     {batchSize: 10000, parallel: false, iterateList: true}); | CALL apoc.periodic.iterate('MATCH (:Account)-[r:ASSOCIATED_WITH]->() RETURN id(r) as id',
    'MATCH ()-[r]->() WHERE id(r)=id CALL apoc.do.case(.....) YIELD value RETURN value', 
    {batchSize: 10000, parallel: false, iterateList: true});",articles\modules\ROOT\pages\a-significant-change-in-apoc-periodic-iterate-in-apoc-4-0.adoc,1,high,,
13,Achieving longestPath Using Cypher,"While Cypher is optimized for finding the shortest path between two nodes, with such functionality as `shortestPath()`,",cypher,"MATCH p=(parent:Root)-[r:HAS_CHILD*1..10]->(child:Node)
RETURN p | MATCH p=(parent:Root)-[:HAS_CHILD*1..10]->(child:Node)
WHERE NOT (child)-[:HAS_CHILD]->()
RETURN p",articles\modules\ROOT\pages\achieving-longestpath-using-cypher.adoc,1,high,,
14,Add a Neo4j instance to a running embedded HA application,There are situations when we would like to use the Neo4j Browser to access an embedded HA cluster.,security,,articles\modules\ROOT\pages\add-a-neo4j-instance-to-an-embedded-ha-application.adoc,1,low,,
15,All shortest paths between a set of nodes,"Consider a number of arbitrary nodes,  A,B,C,D,E,F,.....",cypher,"MATCH (n:Entity) where n.name IN {names}
WITH collect(n) as nodes
UNWIND nodes as n
UNWIND nodes as m
WITH * WHERE id(n) < id(m)
MATCH path = allShortestPaths( (n)-[*..4]-(m) )
RETURN path",articles\modules\ROOT\pages\all-shortest-paths-between-set-of-nodes.adoc,1,high,,
16,Alternatives to UNION queries,"While UNIONs can be useful for certain cases, they can often be avoided completely with small changes to the query.",cypher,"MATCH (:Person {name:'Keanu Reeves'})-[:ACTED_IN]->(movie:Movie)<-[:ACTED_IN]-(coactor)
RETURN movie, coactor | MATCH (:Person {name:'Keanu Reeves'})-[:ACTED_IN]->(movie:Movie)<-[:ACTED_IN]-(coactor)
RETURN movie, coactor
UNION
MATCH (p:Person {name:'Keanu Reeves'})-[:ACTED_IN]->(movie:Movie)
RETURN movie, p as coactor",articles\modules\ROOT\pages\alternatives-to-union-queries.adoc,1,high,,
17,Using Amazon CloudWatch to monitor Neo4j logs,This article describes how to set up Amazon http://docs.aws.amazon.com/AmazonCloudWatch/latest/DeveloperGuide/WhatIsCloudWatch.html[CloudWatch].,security,,articles\modules\ROOT\pages\amazon-cloudwatch-configuration-for-neo4j-logs.adoc,1,medium,,
18,An approach to parsing the query.log,When one has enabled query.log through Neo4j Enterprise parameter,cypher,,articles\modules\ROOT\pages\an-approach-to-parsing-the-query-log.adoc,1,medium,,
19,An example of neo4j-import steps in a Causal Cluster environment,The following steps are provided to describe how to use neo4j-import in a Causal Cluster environment and was run from an,security,create (n:Tester {id:105});,articles\modules\ROOT\pages\an-example-of-neo4j-import-steps-in-a-causal-cluster-environment.adoc,1,low,,
20,An explanation of the E_COUNT_EXCEEDED WARNing message in Neo4j's debug.log.,The document aims to explain the `E_COUNT_EXCEEDED` WARNing messages that Neo4j can write to its debug.log.,performance,,articles\modules\ROOT\pages\an-explanation-of-e-count-exceeded.adoc,1,medium,,
21,An explanation of entries in query.log,This document aims to provide descriptions of components of the query.log logfile located at $NEO4J_HOME/logs. Note that the,cypher,"match (n:Person {name:'Tom Hanks'})-[:ACTED_IN]->(n1:Movie)<-[:DIRECTED]-(n2:Person {name:""Tom Hanks""}) return n1.title",articles\modules\ROOT\pages\an-explanation-of-entries-in-query-log.adoc,1,high,,
22,An overview of the system database,Neo4j 4.0 and higher versions support the management of multiple databases within the same DBMS. All these databases are controlled through a special database called the `system` database.,security,,articles\modules\ROOT\pages\an-overview-of-the-system-database.adoc,1,low,,
23,Analyzing a java heap dump,The purpose of this article is to help you go through the acquired heapdump with Eclipse MAT.,performance,,articles\modules\ROOT\pages\analyzing-a-java-heap-dump.adoc,1,medium,,
24,Are my cluster transactions/messages encrypted.,"For all versions prior to 3.3, there is no encryption done specifically on the contents being transferred.",security,,articles\modules\ROOT\pages\are-my-cluster-transactions-messages-encrypted.adoc,1,low,,
25,Assign or restrict CPU cores to Neo4j process,"Operating system run performance-critical applications on multi-core processors using something called ""processor affinity""",performance,,articles\modules\ROOT\pages\assign-or-restrict-cpu-cores-to-neo4j-process.adoc,1,medium,,
26,Backup Failed. Unexpected error: Base directory for SSL policy with name 'default' does not exist.,This article is based on a defect report with a suggested workaround until a fix becomes available.,security,,articles\modules\ROOT\pages\backup-failed-unexpected-error-base-directory-for-ssl-policy-with-name-default-does-not-exist.adoc,1,low,,
27,Bloom Compatibility with Neo4j 5.0,Neo4j Bloom makes use of database procedures for identifying indexes and constraints that have been deprecated and will be unavailable in Neo4j 5.0. These changes have been implemented to ensure a hig,performance,,articles\modules\ROOT\pages\bloom-compatibility-neo4j50.adoc,1,medium,,
28,Bloom Logging System,"Starting with Bloom 2.1, it's possible to extract logs at various levels of detail from the web browser's developer console when running in Chrome, Firefox or Edge. Please consult documentation for yo",security,,articles\modules\ROOT\pages\bloom-logging-system.adoc,1,medium,,
29,Throttling Bolt Requests,"When large amounts of data are sent between a Neo4j database and a client (typically large query results, from server to client), there are a few hidden throttling mechanisms that may come into play.",cypher,,articles\modules\ROOT\pages\bolt-throttling.adoc,1,medium,,
30,Can I use NFS as my filesystem or datastore storage?,The short answer is no.,performance,,articles\modules\ROOT\pages\can-i-use-nfs-as-my-filesystem-or-datastore-storage.adoc,1,low,,
31,Capacity Planning Example,Here is a back of the napkin example of capacity planning for a Neo4j workload for the following list of requirements:,security,,articles\modules\ROOT\pages\capacity-planning-example.adoc,1,medium,,
32,Causal Cluster FAQ for heavy workloads,*Lagging of follower instances and what causes it?*,security,,articles\modules\ROOT\pages\causal-cluster-faq-for-heavy-workloads.adoc,1,low,,
33,Change logging levels in Neo4j Embedded,"In order to change the default logging levels in a Neo4j embedded instance, you must edit/define the configuration file, which is XML.",security,,articles\modules\ROOT\pages\change-logging-levels-in-neo4j-embedded.adoc,1,medium,,
34,Changes to metrics.csv reporting from 2.x to 3.x,Metrics reporting is an Enterprise feature which upon enablement allows for the creation of .csv files at a specified interval to record key metrics.,security,,articles\modules\ROOT\pages\changes-to-metrics-csv-reporting-from-2-x-to-3-x.adoc,1,low,,
35,Retired: Changing your Garbage Collection Method to G1,This is already the default Garbage Collector in Neo4j 2.3+.,performance,,articles\modules\ROOT\pages\changing-your-garbage-collection-method-to-g1.adoc,1,medium,,
36,Checkpointing and Log Pruning interactions,Checkpointing is the process of flushing all pending page updates from the page cache to the store files. This is necessary for ensuring that the number of transactions that are in need of being repla,performance,,articles\modules\ROOT\pages\checkpointing-and-log-pruning-interactions.adoc,1,medium,,
37,Cluster: org.neo4j.kernel.impl.transaction.log.NoSuchTransactionException: Unable to find transaction 1 in any of my logical logs: Couldn't find any log containing 1,"When operating a https://neo4j.com/docs/operations-manual/current/clustering/causal-clustering/setup-new-cluster/#unbind-instance-from-cluster[causal cluster^], if ""the store"" (`data/databases/graph.d",security,,articles\modules\ROOT\pages\cluster-unable-to-find-transaction.adoc,1,low,,
38,Example of using the Command Expansion on Windows,"The **Command Expansion** feature, introduced in **Neo4j 4.2**, is a security feature to avoid having configuration parameters being written in the `neo4j.conf` file in plain text.",security,"CALL dbms.listConfig() YIELD name, value WHERE name = 'dbms.max_databases' RETURN value",articles\modules\ROOT\pages\command-expansion-example-on-windows.adoc,1,low,,
39,Comparing HA and Causal Clusters,"The legacy HA cluster mode has been deprecated as of Neo4j version 3.5, and will be totally removed from the product in version 4.0, with 4.0 expected to be released near the end of 2019.",security,,articles\modules\ROOT\pages\comparing-ha-vs-causal-clusters.adoc,1,low,,
40,Comparing relationship properties within a path,"You want to compare relationship-properties of a path, either by a global value or parameter, or with each other within a path.",cypher,(:Person {person_id:'123'})-[:FRIEND {date:'1972-01-01'}]->(m:Person {person_id:'456'}) | CREATE CONSTRAINT ON (p:Person) ASSERT p.person_id IS UNIQUE,articles\modules\ROOT\pages\comparing-relationship-properties-within-a-path.adoc,1,high,,
41,Conditional Cypher Execution,"At some point you're going to write a Cypher query requiring some conditional logic, where you want different Cypher statements executed depending on the case.",cypher,"MATCH (bruce:Person {name:'Bruce Wayne'})
CALL {
    WITH bruce
    WITH bruce
    WHERE bruce.isOrphan
    MERGE (batman:Hero {name:'Batman'})
    CREATE (bruce)-[:SuperheroPersona]->(batman)
    WITH count(batman) as count
    RETURN count = 1 as isBatman
}
RETURN isBatman | WITH count(batman) as count
    RETURN count = 1 as isBatman",articles\modules\ROOT\pages\conditional-cypher-execution.adoc,1,high,,
42,Configure HAProxy to Send Write Requests to Leader Node Only,There are a few options regarding implementation of a proxy server to direct writes to a Master node and reads to the Slave nodes in a Neo4j cluster.,security,,articles\modules\ROOT\pages\configure-haproxy-to-send-write-requests-to-master-node-only.adoc,1,low,,
43,Configure Neo4j to authenticate users from different OUs using the Active Directory attribute samAccountName,"Beginning with Neo4j version https://github.com/neo4j/neo4j/wiki/Neo4j-3.2-changelog#322[3.2.2], it is possible to authenticate using",security,,articles\modules\ROOT\pages\configure-neo4j-multiple-ous-using-active-directory-attribute-samaccountname.adoc,1,low,,
44,Configuring Neo4j to operate on privileged ports,"In some environments, users are required to run Neo4j on ports lower than 1024 due to corporate policies. The following is a sample configuration showing how to configure Neo4j 3.5 and newer to listen",security,,articles\modules\ROOT\pages\configure-neo4j-operate-on-privileged-ports.adoc,1,low,,
45,Configuring Remote JMX monitoring,"In order to enable JMX Remote monitoring, edit the  `neo4j.conf` file in Neo4j 3.1.x versions and uncomment the following lines:",security,,articles\modules\ROOT\pages\configuring-remote-jmx-monitoring.adoc,1,low,,
46,Connecting via Bolt when using Tunnelling or NAT,"This article aims to provide a method to connect to the Neo4j database over bolt, via Neo4j browser where the bolt host is different",security,,articles\modules\ROOT\pages\connecting-bolt-when-using-tunnelling-or-nat.adoc,1,medium,,
47,Consideration about routing tables on multi-data center deployments,Using the official Neo4j drivers means that you can take advantage of the full cluster routing capabilities of the drivers. This means,security,,articles\modules\ROOT\pages\consideration-about-routing-tables-on-multi-data-center-deployments.adoc,1,low,,
48,Control number of file handles created per Lucene Index,"In the more recent Neo4j versions (3.4 onwards), the number of file handles opened by Neo4j may seem to increase compared with that in older versions.",performance,,articles\modules\ROOT\pages\control-number-of-file-handles-created-per-lucene-index.adoc,1,medium,,
49,Launching Neo4j Desktop in Linux (Ubuntu & Debian) with an .appimage file,"NOTE: Neo4j installation on Linux using apt-get,",security,,articles\modules\ROOT\pages\convert-an-appimage-file-into-executable-on-linux-ubuntu-debian.adoc,1,low,,
50,How do I resolve inconsistency problems on an instance of a cluster,"(if using HA (High Availability, please read `Leader` and `Follower` instead of `Master` and `Slave` respectively)",security,,articles\modules\ROOT\pages\copy-store-between-instances.adoc,1,low,,
51,Creating and working with linked lists in Cypher,"At some point when working with a graph, you may want to create a linked list out of some nodes.",cypher,"// assume a, b, and c were previously matched and in scope
CREATE (a)-[:REL]->(b)-[:REL]->(c) | MATCH (p:Person)
WITH p
ORDER BY p.name ASC
LIMIT 5
WITH collect(p) as persons
CALL apoc.nodes.link(persons, 'KNOWS')
RETURN persons",articles\modules\ROOT\pages\creating-and-working-with-linked-lists.adoc,1,high,,
52,Creating and configuring database-local roles,"Neo4j 4.0 introduced advanced security features in the form of https://neo4j.com/docs/cypher-manual/current/access-control/[role-based access controls], much needed, especially with the introduction o",cypher,"CREATE ROLE db1_reader AS COPY OF reader;
REVOKE GRANT ACCESS ON DATABASES * FROM db1_reader;
GRANT ACCESS ON DATABASE db1 TO db1_reader;
GRANT ROLE db1_reader TO user_a; | CREATE ROLE db2_accessor;
GRANT ACCESS ON DATABASE db2 TO db2_accessor;
GRANT ROLE db2_accessor TO user_a;",articles\modules\ROOT\pages\creating-database-local-roles.adoc,1,high,,
