line,name,description,when_to_use,anti_pattern,cypher_examples,node_labels,relationship_types,source_file,authority_level,review_status,reviewer_notes
1,Modeling designs,This page features examples of graph data modeling patterns and designs that are commonly used with Neo4j.,"Linked list

Linked lists are commonly used in computer science and they are particularly useful whenever the sequence of objects matters.
A *simple-linked list* is where each node links to the next n","Intermediate nodes

Intermediary nodes are nodes that contain data that need to be in the graph but don't seem to fit neatly into the initial model.

Sometimes you need to convey a lot of information ",,"Company, Person, WORKED",,modules\ROOT\pages\data-modeling\modeling-designs.adoc,1,,
2,Modeling: relational to graph,"For those with a background in relational data modeling, this guide helps transfer your existing knowledge of the processes and components used for relational data modeling into graph data modeling.","Relational and graph architecture

As a quick overview, remember that relational databases rely upon index lookups and table joins to connect different entities.
This quickly becomes a problem for per",,,,,modules\ROOT\pages\data-modeling\relational-to-graph-modeling.adoc,1,,
3,Tutorial: Create a graph data model,This tutorial is designed to help you understand how data modeling works through an example use case.,"Test the model

After populating the graph to implement the data model with a small set of test data, you should now test it to ensure that it satisfies every xref:#_define_the_use_case[use case].

Fo",,,"ACTED, DIRECTED, Movie, Person, RATED, User","ACTED_IN, DIRECTED, RATED",modules\ROOT\pages\data-modeling\tutorial-data-modeling.adoc,1,,
4,Tutorial: Refactor a graph data model,This tutorial teaches you how to refactor your graph data model.,"Retest the graph

After you have refactored the graph, you should revisit all queries for your xref:data-modeling/tutorial-data-modeling.adoc#_define_the_use_case[use cases] and determine whether any ","Using specific relationships

Specific relationships are a refactor strategy that you can use when your project has a recurrent use case that needs a certain piece of information to be constantly retr",,"ACTED, DIRECTED, IN, Language, Movie, PRODUCED, Person, ProductionCompany, RATED, User","ACTED_IN, ACTED_IN_, DIRECTED, IN_LANGUAGE, PRODUCED, RATED",modules\ROOT\pages\data-modeling\tutorial-refactoring.adoc,1,,
5,Versioning,See what options of graph data model versioning are commonly used in combination with Neo4j.,"Timeline tree

As mentioned in xref:data-modeling/modeling-designs.adoc[Modeling designs], the timeline tree is a common modeling design.
It can be a useful strategy when you want to track change.
In ","Time-based versioning of entities

A variation of the entity versioning is a time-based approach.
It is useful when you are interested in:

* *Graph snapshot* by retrieving all valid elements (nodes a",,"HAS, IN, LAST, LATEST, Month, NEXT, OCCURRED, ON, Product, Purchase, State, Timeline, Year","IN_MONTH, IN_YEAR, LAST, LATEST, NEXT, OCCURRED, ON_DAY, V",modules\ROOT\pages\data-modeling\versioning.adoc,1,,
6,Tutorial: Build a Cypher Recommendation Engine,"Gather insights and generate recommendations with simple cypher queries, by navigating the graph","Resources
* link:https://www.youtube.com/channel/UCvze3hU6OZBkB1vkhH2lH9Q/search?query=recommendation[Neo4j Videos: Building Recommendation Engines^]
* link:https://neo4j.com/use-cases/real-time-recom",,"MATCH (tom:Person {name: 'Tom Hanks'})
RETURN tom | MATCH (tom:Person {name: 'Tom Hanks'})-[r:ACTED_IN]->(movie:Movie)
RETURN tom, r, movie","ACTED, Cuisine, IS, LIKES, LOCATED, Location, Movie, Person, Restaurant, SERVES","ACTED_IN, IS_FRIEND_OF, LIKES, LOCATED_IN, SERVES",modules\ROOT\pages\appendix\tutorials\guide-build-a-recommendation-engine.adoc,1,,
7,Comparing Cypher with SQL,Learn how to write equivalent SQL statements using Cypher.,"Query examples

=== Select and return records

[options=header,cols='1,1']
|===

| SQL
| Cypher

a| To select and return records in SQL, select everything from the `products` table:
[source, plsql]
--","Query examples

=== Select and return records

[options=header,cols='1,1']
|===

| SQL
| Cypher

a| To select and return records in SQL, select everything from the `products` table:
[source, plsql]
--","MATCH (p:Product)
RETURN p; | MATCH (p:Product)
RETURN p.productName, p.unitPrice
ORDER BY p.unitPrice DESC
LIMIT 10;","Customer, ORDERS, Order, PURCHASED, Product, SUPPLIED, SUPPLIES, Supplier","ORDERS, PURCHASED, SUPPLIED_BY, SUPPLIES",modules\ROOT\pages\cypher\cypher-sql.adoc,1,,
8,Get started with Cypher,"This tutorial shows the basic concepts of Cypher, Neo4j's query language, including how to create and query graphs.","Clean up

When you're done experimenting, you can remove the movie data set and clean up your Aura instance.
You can delete everything with one single query:

[source, cypher]
--
MATCH (n)
DETACH DELE","Find patterns

In the previous step, you queried the graph for nodes.
Now you are going to retrieve related nodes by finding the link:https://neo4j.com/docs/cypher-manual/current/patterns/[patterns] w",,"ACTED, DIRECTED, FOLLOWS, Movie, PRODUCED, Person, REVIEWED, WROTE","ACTED_IN, DIRECTED, FOLLOWS, PRODUCED, REVIEWED, WROTE",modules\ROOT\pages\cypher\intro-tutorial.adoc,1,,
9,Refining results,This guide describes how to refine the results from Cypher queries.,"Keep learning

Cypher has many other resources for refining query results.
If you want to keep learning, see the following pages:

. link:https://neo4j.com/docs/cypher-manual/current/queries/composed-","Order

If you want to have the results ordered, you can use the clause link:https://neo4j.com/docs/cypher-manual/current/clauses/order-by/[`ORDER BY`] after the `RETURN` clause.
For example, to list h","MATCH (p:Person)
WHERE p.name =~ 'Jo.*'
RETURN p.name","ACTED, Company, DIRECTED, IS, LIKES, Movie, Person, Technology, WORKS","ACTED_IN, DIRECTED, IS_FRIENDS_WITH, LIKES, WORKS_FOR",modules\ROOT\pages\cypher\results.adoc,1,,
10,Defining a schema,This guide explains how to define a schema by using indexes and constraints.,"Using constraints

link:https://neo4j.com/docs/cypher-manual/current/constraints/[Constraints] are used to make sure that the data adheres to the rules of the domain.
They can be property uniqueness, ","Keep learning

Refer to the Cypher documentation for more information on indexes and constraints:

* link:https://neo4j.com/docs/cypher-manual/current/indexes/search-performance-indexes/[Search-perfor",,"ACTED, Actor, DIRECTED, Director, Movie, Person","ACTED_IN, DIRECTED",modules\ROOT\pages\cypher\schema.adoc,1,,
